date;weather;tempMax;tempMin;precipitation
2016-08-01;Partly Cloudy;25;13;0.0
2016-08-02;Rain;22;16;1.02
2016-08-03;Rain;26;18;0.25
2016-08-04;Rain;22;16;1.02
2016-08-05;Rain;23;12;0.0
2016-08-06;Scattered Clouds;25;11;0.0
2016-08-07;Clear;29;12;0.0
2016-08-08;Partly Cloudy;22;17;0.0
2016-08-09;Rain;23;12;0.0
2016-08-10;Partly Cloudy;20;8;0.0
2016-08-11;Partly Cloudy;23;8;0.0
2016-08-12;Partly Cloudy;27;13;0.0
2016-08-13;Clear;29;14;0.0
2016-08-14;Clear;28;14;0.0
2016-08-15;Clear;28;14;0.0
2016-08-16;Clear;30;15;0.0
2016-08-17;Clear;30;16;0.0
2016-08-18;Tstorm;23;17;17.02
2016-08-19;Rain;23;16;0.25
2016-08-20;Rain;24;14;0.25
2016-08-21;Rain;22;13;0.51
2016-08-22;Partly Cloudy;28;14;0.0
2016-08-23;Clear;32;16;0.0
2016-08-24;Clear;36;17;0.0
2016-08-25;Clear;36;18;0.0
2016-08-26;Clear;34;19;0.0
2016-08-27;Tstorm;34;19;0.0
2016-08-28;Partly Cloudy;27;19;0.0
2016-08-29;Partly Cloudy;24;16;0.0
2016-08-30;Scattered Clouds;26;14;0.0
2016-08-31;Scattered Clouds;28;13;0.0
2016-09-01;Scattered Clouds;27;13;0.0
2016-09-02;Overcast;29;13;0.0
2016-09-03;Partly Cloudy;28;14;0.0
2016-09-04;Rain;22;17;1.02
2016-09-05;Rain;20;15;3.05
2016-09-06;Partly Cloudy;23;18;0.25
2016-09-07;Clear;28;14;0.25
2016-09-08;Partly Cloudy;25;13;0.0
2016-09-09;Fog;26;10;0.0
2016-09-10;Partly Cloudy;27;11;0.0
2016-09-11;Rain;26;18;0.0
2016-09-12;Fog;31;14;0.0
2016-09-13;Clear;32;21;0.0
2016-09-14;Rain;28;17;12.95
2016-09-15;Tstorm;20;15;12.95
2016-09-16;Rain;22;13;2.03
2016-09-17;Rain;18;12;0.25
2016-09-18;Rain;22;9;1.02
2016-09-19;Rain;20;14;0.51
2016-09-20;Rain;21;12;0.25
2016-09-21;Fog;22;8;0.0
2016-09-22;Fog;24;9;0.25
2016-09-23;Scattered Clouds;24;13;0.0
2016-09-24;Fog;24;9;0.25
2016-09-25;Rain;20;12;5.08
2016-09-26;Fog;21;8;0.25
2016-09-27;Clear;23;9;0.0
2016-09-28;Partly Cloudy;23;15;0.0
2016-09-29;Partly Cloudy;22;13;0.0
2016-09-30;Rain;17;13;0.76
2016-10-01;Rain;18;11;2.03
2016-10-02;Partly Cloudy;18;8;0.25
2016-10-03;Fog;18;4;0.0
2016-10-04;Fog;19;8;0.0
2016-10-05;Clear;18;9;0.0
2016-10-06;Scattered Clouds;16;5;0.0
2016-10-07;Mostly Cloudy;14;8;0.0
2016-10-08;Partly Cloudy;17;9;0.0
2016-10-09;Scattered Clouds;16;4;0.0
2016-10-10;Rain;15;2;1.02
2016-10-11;Fog;13;4;0.0
2016-10-12;Scattered Clouds;14;3;0.0
2016-10-13;Rain;11;4;0.25
2016-10-14;Rain;12;9;5.08
2016-10-15;Rain;18;7;0.25
2016-10-16;Mostly Cloudy;21;8;0.25
2016-10-17;Rain;18;10;0.76
2016-10-18;Rain;17;7;0.25
2016-10-19;Rain;13;6;0.25
2016-10-20;Rain;14;7;0.51
2016-10-21;Rain;13;8;2.03
2016-10-22;Fog;12;4;0.25
2016-10-23;Rain;13;4;6.1
2016-10-24;Rain;14;10;2.03
2016-10-25;Fog;14;9;0.0
2016-10-26;Fog;14;7;0.0
2016-10-27;Fog;15;6;0.0
2016-10-28;Fog;14;4;0.0
2016-10-29;Mostly Cloudy;13;10;0.0
2016-10-30;Fog;18;6;0.25
2016-10-31;Fog;18;7;0.0
