country;contract_name;company;count
Sweden;Stockholm;Cyclocity;11272
JAPAN;Toyama;cyclocity;56360
France;Toulouse;Vélô;783507
France;Cergy-Pontoise;Velo2;115211
Norway;Lillestrom;Bysykkel;14115
Sweden;Goteborg;Göteborg;189141
Spain;Valence;Valenbisi;774950
Belgium;Bruxelles-Capitale;villo;966501
France;Paris;Velib;3445276
Russia;Kazan;Veli'k;19761
Sweden;Lund;Lundahoj;47991
France;Besancon;VéloCité;84499
Spain;Seville;SEVICI;729862
Slovenia;Ljubljana;Bicikelj;105890
France;Creteil;Cristolib;28230
France;Mulhouse;VéloCité;112920
France;Nantes;Bicloo;287997
Belgium;Namur;Li bia velo;69591
Luxembourg;Luxembourg;Veloh;210316
IRELAND;Dublin;dublinbikes;285123
France;Lyon;Vélo'V;980918
Australia;Brisbane;CityCycle;420095
Spain;Santander;Tusbic;45647
Lithuania;Vilnius;Cyclocity;104168
France;Marseille;Le vélo;347889
France;Nancy;vélOstan'lib;81867
France;Rouen;cy'clic;62018
France;Amiens;Velam;73139
